Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
May. 19,5/20/22,Amazon.com*1L0OT32F2,Shopping,Sale,-8.88
May. 19,5/20/22,Amazon.com*1L5830670,Shopping,Sale,-0.56
May. 19,5/20/22,Amazon.com*1R7BE4UJ1,Shopping,Sale,-13.37
May. 16,5/16/22,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-22.87
Apr. 29,4/29/22,Amazon.com*1Q9896452,Shopping,Sale,-23.96
Apr. 21,4/22/22,VZWRLSS*APOCC VISW,Bills & Utilities,Sale,-160.37
Apr. 18,4/19/22,Amazon.com*1A91O9UF0,Shopping,Sale,-12.67
Apr. 18,4/19/22,Amazon.com*1A97T1UL0,Shopping,Sale,-8.3
Apr. 18,4/19/22,Amazon.com*1A9BV4SK2,Shopping,Sale,-15.33
Apr. 18,4/19/22,Amazon.com*1A9NG5UO0,Shopping,Sale,-13.95
Apr. 18,4/19/22,Amazon.com*1A1NX4UA0,Shopping,Sale,-12.86
Apr. 18,4/19/22,Amazon.com*1A49F76B2,Shopping,Sale,-109.09
Apr. 16,4/17/22,Amazon.com*1A31P7G12,Shopping,Sale,-11.45
Apr. 15,4/15/22,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-37.1
Mar. 21,3/22/22,VZWRLSS*APOCC VISW,Bills & Utilities,Sale,-160.45
Mar. 20,3/20/22,Amazon.com*1Z9OA1WV2,Shopping,Sale,-13.37
Mar. 20,3/20/22,Amazon.com*1Z3O40WW2,Shopping,Sale,-12.97
Mar. 16,3/16/22,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-27.1
Mar. 15,3/16/22,Amazon.com*1N0WY7ZW1,Shopping,Sale,-6.48
Mar. 15,3/16/22,Amazon.com*1Z3717KZ0,Shopping,Sale,-19.26
Mar. 2,3/3/22,SALTY UNDERGROUND,Shopping,Sale,-112.41
,,,,,
Anthony Checking,,,,,
Date,Type,Description,Check #,Amount,
Dec. 30,Debit Card,SPOTIFY NEW YORK NY,,-9.99,
Dec. 30,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-10.99,
Dec. 29,Debit Card,CHINA KING SPRINGFIELD MO,,-40,
Dec. 28,Debit Card,JERSEY MIKES 25 SPRINGFIELD MO,,-9.67,
Dec. 27,Debit Card,WM SUPERCENTER WM SUPERCENTER # REPUBLIC MO,,-32.63,
Dec. 27,Debit Card,175000000267 LOWE'S #422 1850 E SPRINGFIELD MO,,-18.87,
Dec. 27,Debit Card,STARBUCKS STORE SPRINGFIELD MO,,-5.57,
Dec. 27,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-20.19,
12/27/22,Debit Card,GOOGLE *YouTube g.co/helppay# CA,,-11.99,
12/27/22,Debit Card,00000000067815 PRICE CUTTER #52 SPRINGFIELD MO,,-7,
12/27/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
12/23/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-10.15,
12/23/22,Debit Card,TACO BELL 03622 SPRINGFIELD MO,,-9.05,
12/22/22,Debit Card,PANERA BREAD #2 SPRINGFIELD MO,,-9.27,
12/19/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-20,
12/19/22,Debit Card,04500000318253 30 FASTLANE SAINT CLAIR MO,,-12.63,
12/19/22,Debit Card,LOVE'S #341 ROLLA MO,,-3.65,
12/19/22,Debit Card,JERSEY MIKES 25 SPRINGFIELD MO,,-19.83,
12/16/22,Debit Card,TACO BELL 03622 SPRINGFIELD MO,,-9.05,
12/15/22,Debit Card,THAI EXPRESS SPRINGFIELD MO,,-48,
12/14/22,Debit Card,385300016218 KUM&GO 1476 SPRING SPRINGFIELD MO,,-15.01,
12/14/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-45.98,
12/13/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15,
12/13/22,Debit Card,365 SOS AUTO AP TROY MI,,-3.87,
12/12/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.99,
12/12/22,Debit Card,APPLE.COM/BILL www.apple.com CA,,-15.98,
12/12/22,Debit Card,PP*BREWCREWLLC SPRINGFIELD MO,,-6.95,
12/12/22,Debit Card,ADOBE CREATIVE 4085366000 CA,,-29.99,
12/12/22,Debit Card,JERSEY MIKES 25 SPRINGFIELD MO,,-16.25,
12/12/22,Debit Card,PP*GOOGLE GOOGL 4029357733 CA,,-1.99,
12/9/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
12/9/22,Debit Card,365 SOS AUTO AP TROY MI,,-2.51,
12/9/22,Debit Card,CHINA KING SPRINGFIELD MO,,-11,
12/9/22,Debit Card,JERSEY MIKES 25 SPRINGFIELD MO,,-12.26,
12/8/22,Debit Card,04500000830042 RAPID ROBERTS #1 REPUBLIC MO,,-15.07,
12/8/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-7.23,
12/7/22,Debit Card,TST* THE BIG SL SPRINGFIELD MO,,-35.67,
12/6/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.99,
12/6/22,Debit Card,WIX.COM 1028598 +14154494724 CA,,-14.95,
12/5/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-20,
12/5/22,Debit Card,CHINA KING SPRINGFIELD MO,,-40,
12/5/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
12/5/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-9.99,
12/2/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
12/2/22,Debit Card,POPEYES 13947 REPUBLIC MO,,-10.84,
12/1/22,Debit Card,SQ *THE WHEELHO Springfield MO,,-18.92,
12/1/22,Debit Card,TACO BELL 03622 SPRINGFIELD MO,,-9.05,
11/30/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.09,
11/30/22,Debit Card,SPOTIFY NEW YORK NY,,-9.99,
11/30/22,Debit Card,TACO BELL 03622 SPRINGFIELD MO,,-9.05,
11/29/22,Debit Card,365 SOS AUTO AP TROY MI,,-3.87,
11/29/22,Debit Card,WIX.COM*1027550 800-6000949 NY,,-21.5,
11/28/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.19,
11/28/22,Debit Card,PANERA BREAD #2 SPRINGFIELD MO,,-6,
11/28/22,Debit Card,GOOGLE *YouTube g.co/helppay# CA,,-11.99,
11/25/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
11/23/22,Debit Card,CHINA KING SPRINGFIELD MO,,-41,
11/22/22,Debit Card,WM SUPERCENTER WM SUPERCENTER # REPUBLIC MO,,-22.29,
11/22/22,Debit Card,365 SOS AUTO AP TROY MI,,-2.51,
11/21/22,Debit Card,TST* THE BIG SL SPRINGFIELD MO,,-61.61,
11/21/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-9.99,
11/21/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-7.83,
11/18/22,Debit Card,365 SOS AUTO AP TROY MI,,-3.76,
11/18/22,Debit Card,STEAK N SHAKE 1 SPRINGFIELD MO,,-10.99,
11/18/22,Debit Card,K FRIED CHICKEN Springfield MO,,-20,
11/17/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.28,
11/17/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-7.88,
11/17/22,Debit Card,TACO BELL 03622 SPRINGFIELD MO,,-9.05,
11/15/22,Debit Card,385300016218 KUM&GO 1476 SPRING SPRINGFIELD MO,,-15.26,
11/15/22,Debit Card,365 SOS AUTO AP TROY MI,,-3.76,
11/14/22,Debit Card,175000000267 LOWE'S #422 1850 E SPRINGFIELD MO,,-35,
11/14/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.06,
11/14/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-11.21,
11/14/22,Debit Card,365 SOS AUTO AP TROY MI,,-2.51,
11/14/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
11/14/22,Debit Card,ADOBE CREATIVE 4085366000 CA,,-29.99,
11/10/22,Debit Card,PP*GOOGLE GOOGL 4029357733 CA,,-1.99,
11/10/22,Debit Card,TACO BELL 03622 SPRINGFIELD MO,,-9.05,
11/9/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.01,
11/8/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.99,
11/7/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.03,
11/7/22,Debit Card,TACO BELL 02791 ROLLA MO,,-9.09,
11/7/22,Debit Card,SQ *JOVICK BROS St Louis MO,,-15.74,
11/7/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-39.6,
11/4/22,Debit Card,CHINA KING SPRINGFIELD MO,,-15,
11/4/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
11/4/22,Debit Card,UDEMY: ONLINE C +18888385432 CA,,-12.99,
11/4/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-9.99,
11/4/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
10/31/22,Debit Card,SPOTIFY New York NY,,-9.99,
10/31/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-8.98,
10/31/22,Debit Card,WIX.COM 1022774 +14154494724 CA,,-21.5,
10/26/22,Debit Card,GOOGLE *YouTube g.co/helppay# CA,,-11.99,
10/25/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.99,
10/25/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
10/24/22,Debit Card,CASH APP*DAWN R gosq.com CA,,-80,
10/24/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-9.35,
10/21/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.99,
10/19/22,Debit Card,UDEMY: ONLINE C +18888385432 CA,,-11.99,
10/18/22,Debit Card,365 SOS AUTO AP TROY MI,,-2.51,
10/17/22,Debit Card,4 BY 4 BREWING SPRINGFIELD MO,,-8.19,
10/14/22,Debit Card,365 SOS AUTO AP TROY MI,,-3.76,
10/14/22,ACH,Twitch InteractiEDI PYMNTS,,96.52,
10/12/22,Debit Card,SEOUL ORIENTAL Springfield MO,,-13.66,
10/11/22,Debit Card,365 SOS AUTO AP TROY MI,,-2.51,
10/11/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-1.47,
10/11/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15,
10/11/22,Debit Card,WM SUPERCENTER WM SUPERCENTER # REPUBLIC MO,,-24.16,
10/11/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-10.14,
10/11/22,Debit Card,ADOBE CREATIVE 4085366000 CA,,-29.99,
10/11/22,Debit Card,PP*GOOGLE GOOGL 4029357733 CA,,-1.99,
10/7/22,Debit Card,365 SOS AUTO AP TROY MI,,-4.5,
10/7/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-8.03,
10/7/22,Debit Card,TACO BELL 00227 SPRINGFIELD MO,,-9.05,
10/5/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.03,
10/5/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-10.74,
10/5/22,Debit Card,RAISING CANE'S SPRINGFIELD MO,,-12.26,
10/5/22,Debit Card,WESTLAKE HARDWA SPRINGFIELD MO,,-10.8,
10/4/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
10/4/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
10/4/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-9.99,
9/30/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
9/30/22,Debit Card,KUM&GO 0488 SPR SPRINGFIELD MO,,-10.09,
9/30/22,Debit Card,SPOTIFY NEW YORK NY,,-9.99,
9/30/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-7.99,
9/30/22,Debit Card,WESTLAKE HARDWA SPRINGFIELD MO,,-2.71,
9/29/22,Debit Card,WIX.COM 1017963 +14154494724 CA,,-21.5,
9/28/22,Debit Card,260218335883 CANTON INN SPRINGFIELD MO,,-9.95,
9/28/22,Debit Card,CASEYS #3871 CASEYS #3871 SPRINGFIELD MO,,-10.11,
9/28/22,Debit Card,CASEYS #3871 CASEYS #3871 SPRINGFIELD MO,,-2.92,
9/26/22,Debit Card,GOOGLE *YouTube g.co/helppay# CA,,-11.99,
9/26/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
9/23/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
9/23/22,Debit Card,TACO BELL 03636 SPRINGFIELD MO,,-6.06,
9/22/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-10.27,
9/20/22,Debit Card,SQ *OZARK SAW & Nixa MO,,-140.58,
9/16/22,Debit Card,365 SOS AUTO AP TROY MI,,-1.88,
9/16/22,Debit Card,UDEMY: ONLINE C +18888385432 CA,,-11.99,
9/15/22,Debit Card,00000000061861 MURPHY USA 7782 REPUBLIC MO,,-15.01,
9/14/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-1.99,
9/14/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-9.3,
9/12/22,Debit Card,SEOUL ORIENTAL Springfield MO,,-34.36,
9/12/22,Debit Card,ADOBE CREATIVE 4085366000 CA,,-29.99,
9/12/22,Debit Card,PP*GOOGLE GOOGL 4029357733 CA,,-1.99,
9/9/22,Debit Card,175000000267 LOWE'S #422 1850 E SPRINGFIELD MO,,-16.67,
9/9/22,Debit Card,ST GEORGES DONU SPRINGFIELD MO,,-4.92,
9/8/22,Debit Card,04500000830133 RAPID ROBERTS #1 SPRINGFIELD MO,,-15.03,
9/6/22,Debit Card,APPLE.COM/BILL www.apple.com CA,,-9.99,
9/6/22,Debit Card,APPLE.COM/BILL 866-712-7753 CA,,-2.99,
9/1/22,Debit Card,CARL'S JR #727 BIG CABIN OK,,-3.8,
9/1/22,Debit Card,LOVE'S #727 BIG CABIN OK,,-4.99,
9/1/22,Debit Card,TACO BELL 03636 SPRINGFIELD MO,,-5,
,,,,,
Aug. 25,,2-7753 CA,APPLE.COM/BILL 866-71,10.98,
Aug. 25,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 08/25,15.07,
Aug. 26,,2-7753 CA,APPLE.COM/BILL 866-7,2.99,
Aug. 29,,494724 CA,WIX.COM 1013105 +141 54,21.5,
Aug. 30,CheckPlus,KUM&GO 0468 SPR,SPRINGFIELD MO 08/29,10.15,
,,,,,
Aug. 16,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 08/16,10.16,
Aug. 18,CheckPlus,PIRATE SHIP PO,JACKSON WY 08/17,7.07,
Aug. 19,CheckPlus,TACO BELL 01819,REPUBLIC MO 08/17,9.03,
Aug. 19,CheckPlus,CASEYS #3871,CASEYS #3871 SPRINGFIELD MO 08/18,4.92,
Aug. 19,CheckPlus,CASEYS #3871,CASEYS #3871 SPRINGFIELD MO 08/18,10.05,
Aug. 22,CheckPlus,RAISING CANE'S,SPRINGFIELD MO 08/18,9.72,
Aug. 22,CheckPlus,TAQUERIA ARANDA,QUINCY IL 08/20,26.85,
Aug. 22,CheckPlus,34044,SHELL SERVICE S QUINCY IL 08/20,10.05,
Aug. 22,CheckPlus,29802322,HY-VEE F& HY VEE G QUINCY IL 08/20,21.94,
,,,,,
Aug. 01,,2-7753 CA,APPLE.COM/BILL 866-71,7.99,
Aug. 03,CheckPlus,SQ *HURTS DONUT,Springfield MO 08/02,8.59,
Aug. 03,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 08/03,5.1,
Aug. 04,,2-7753 CA,APPLE.COM/BILL 866- 71,2.99,
Aug. 05,CheckPlus,SAMS CLUB #498,SAMS CLUB #4985 SPRINGFIELD MO 08/04,4.15,
Aug. 08,CheckPlus,TACO BELL 03622,SPRINGFIELD MO 08/05,8.94,
Aug. 08,CheckPlus,CHINA KING,SPRINGFIELD MO 08/06,15.05,
Aug. 08,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 08/06,10.02,
Aug. 08,CheckPlus,1.75E+11,LOWE'S #2314 1225 REPUBLIC MO 08/06,19.62,
Aug. 09,,2-7753 CA,APPLE.COM/BILL 866- 71,23.99,
Aug. 09,CheckPlus,PIRATE SHIP PO,JACKSON WY 08/08,37.91,
Aug. 09,CheckPlus,PIRATE SHIP PO,JACKSON WY 08/08,69.89,
Aug. 10,CheckPlus,PANERA BREAD #2,SPRINGFIELD MO 08/09,4.1,
Aug. 11,,6000 CA,ADOBE CREATIVE 4085 36,29.99,
Aug. 12,CheckPlus,ANDY'S FROZEN C,SPRINGFIELD MO 08/11,7.16,
Aug. 15,CheckPlus,JERSEY MIKES 25,SPRINGFIELD MO 08/13,22.7,
,,,,,
,,,,,
19-Jul,CheckPlus,PIRATE SHIP PO,JACKSON WY 07/18,3.88,
19-Jul,CheckPlus,PIRATE SHIP PO,JACKSON WY 07/18,15.31,
22-Jul,CheckPlus,4500000830042,RAPID ROBERTS #1 REPUBLIC MO 07/22,5.16,
22-Jul,CheckPlus,SAMS CLUB #498,SAMS CLUB #4985 SPRINGFIELD MO 07/22,20,
22-Jul,CheckPlus,28454256,MNRD-SPRN 3803 W U SPRINGFIELD MO 07/22,67.39,
25-Jul,,2-7753 CA,APPLE.COM/BILL 866- 71,2.99,
25-Jul,CheckPlus,ANDY'S FROZEN C,REPUBLIC MO 07/24,2.91,
25-Jul,CheckPlus,SQ *OZARK SAW &,Nixa MO 07/22,31.79,
25-Jul,CheckPlus,SEOUL ORIENTAL,Springfield MO 07/23,38.56,
25-Jul,CheckPlus,1.75E+11,LOWE'S #2314 1225 REPUBLIC MO 07/24,21.67,
29-Jul,,494724 CA,WIX.COM 1008249 +141,,
30-Jun,CheckPlus,1.75E+11,LOWE'S #2314 1225 REPUBLIC MO 06/30,44.3,
1-Jul,CheckPlus,Blooms sgf,Springfield MO 06/30,3.78,
1-Jul,CheckPlus,WM SUPERCENTER,WM SUPERCENTER # REPUBLIC MO 06/30,6.94,
5-Jul,,2-7753 CA,APPLE.COM/BILL 866- 71,2.99,
5-Jul,CheckPlus,Blooms sgf,Springfield MO 07/02,10.49,
5-Jul,CheckPlus,TST* THE BIG SL,SPRINGFIELD MO 07/02,14.08,
5-Jul,CheckPlus,1.75E+11,LOWE'S #2314 1225 REPUBLIC MO 07/05,7,
7-Jul,CheckPlus,UDEMY: ONLINE C,#ERROR!,9.99,
11-Jul,,6000 CA,ADOBE CREATIVE 4085 36,29.99,
11-Jul,CheckPlus,AMC 0736 SPRING,SPRINGFIELD MO 07/07,17.71,
11-Jul,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 07/11,10.01,
12-Jul,CheckPlus,SQ *OZARK SAW &,Nixa MO 07/11,119.75,
14-Jul,CheckPlus,POPEYES 13947,REPUBLIC MO 07/13,12.24,
15-Jul,CheckPlus,ST GEORGES DONU,SPRINGFIELD MO 07/14,10.54,
15-Jul,CheckPlus,WENDY'S 0036,WENDY'S 0036 REPUBLIC MO 07/14,4.57,
15-Jul,CheckPlus,3.85E+11,KUM&GO 1479 SPRING SPRINGFIELD MO 07/15,10.03,
18-Jul,CheckPlus,WM SUPERCENTER,WM SUPERCENTER # REPUBLIC MO 07/16,11.67,
18-Jul,CheckPlus,WM SUPERCENTER,WM SUPERCENTER # REPUBLIC MO 07/18,60.83,
,,,,,
21-Jun,CheckPlus,Blooms sgf,Springfield MO 06/18,10,
21-Jun,CheckPlus,SEOUL ORIENTAL,Springfield MO 06/18,36.26,
24-Jun,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 06/24,10.01,
24-Jun,CheckPlus,WM SUPERCENTER,WM SUPERCENTER # REPUBLIC MO 06/24,15.64,
27-Jun,,2-7753 CA,APPLE.COM/BILL 866- 71,2.99,
27-Jun,CheckPlus,CHINA KING,SPRINGFIELD MO 06/25,30,
29-Jun,,ANCISCO CA,WIX.COM SAN FR,21.5,
30-Jun,,2-7753 CA,APPLE.COM/BILL 866- 71,7.99,
,,,,,
May23,CheckPlus,LOS TRES HERMAN,COLUMBIA MO 05/21,31.46,
May23,CheckPlus,1.95E+11,QT 184 OUTSIDE 432 KANSAS CITY MO 05/23,10.15,
May23,CheckPlus,1.95E+11,QT 247 OUTSIDE 140 HARRISONVILLE MO 05/23,20.01,
May23,CheckPlus,2.22E+11,UTRECHT ART 800447 KANSAS CITY MO 05/23,40.22,
May24,CheckPlus,PANERA BREAD #2,KANSAS CITY MO 05/23,4.29,
May24,CheckPlus,PANERA BREAD #2,KANSAS CITY MO 05/23,12.04,
May24,CheckPlus,QT 241,BLUE SPRINGS MO 05/22,12.4,
May24,CheckPlus,DENTAL CLINIC,KANSAS CITY MO 05/23,54,
May24,CheckPlus,DENTAL CLINIC,KANSAS CITY MO 05/23,76,
May25,,2-7753 CA,APPLE.COM/BILL 866- 71,2.99,
May25,CheckPlus,CROWN CENTER AP,SAINT JOSEPH MO 05/23,5.73,
May27,CheckPlus,61861,MURPHY USA 7782 REPUBLIC MO 05/27,20,
May31,CheckPlus,POPEYES 13462,NIXA MO 05/27,13.69,
May31,CheckPlus,WM SUPERCENTER,WM SUPERCENTER # REPUBLIC MO 05/29,7.17,
